filename,# of formulae,# of cells with formulae,(# of cells with formulae) / (# of formulae)
andy_zipper_000_1_1.pst.187.xls,6950,5859,0.84302158273381294964
andy_zipper_000_1_1.pst.188.xls,22,7,0.31818181818181818182
andy_zipper_000_1_1.pst.189.xls,1247,0,0E-20
andy_zipper_000_1_1.pst.19.xls,2724,43,0.01578560939794419971
andy_zipper_000_1_1.pst.190.xls,3720,2101,0.56478494623655913978
andy_zipper_000_1_1.pst.191.xls,230,0,0E-20
andy_zipper_000_1_1.pst.192.xls,223,0,0E-20
andy_zipper_000_1_1.pst.193.xls,226,0,0E-20
andy_zipper_000_1_1.pst.194.xls,226,0,0E-20
andy_zipper_000_1_1.pst.195.xls,230,0,0E-20
andy_zipper_000_1_1.pst.196.xls,450,0,0E-20
andy_zipper_000_1_1.pst.197.xls,456,0,0E-20
andy_zipper_000_1_1.pst.198.xls,230,0,0E-20
andy_zipper_000_1_1.pst.199.xls,94,0,0E-20
andy_zipper_000_1_1.pst.20.xls,30609,8279,0.27047600378973504525
andy_zipper_000_1_1.pst.201.xls,230,0,0E-20
andy_zipper_000_1_1.pst.202.xls,119,0,0E-20
andy_zipper_000_1_1.pst.21.xls,175177,65471,0.37374198667633308026
andy_zipper_000_1_1.pst.217.xls,124,1,0.00806451612903225806
andy_zipper_000_1_1.pst.23.xls,35024,8839,0.25236980356327089995
andy_zipper_000_1_1.pst.24.xls,351,0,0E-20
andy_zipper_000_1_1.pst.240.xls,30,0,0E-20
andy_zipper_000_1_1.pst.241.xls,724,0,0E-20
andy_zipper_000_1_1.pst.242.xls,1986,0,0E-20
andy_zipper_000_1_1.pst.243.xls,6371,556,0.08727044420028253022
andy_zipper_000_1_1.pst.244.xls,226,0,0E-20
andy_zipper_000_1_1.pst.245.xls,226,0,0E-20
andy_zipper_000_1_1.pst.248.xls,231,0,0E-20
andy_zipper_000_1_1.pst.249.xls,225,0,0E-20
andy_zipper_000_1_1.pst.25.xls,5341,8,0.00149784684516008238
andy_zipper_000_1_1.pst.250.xls,225,0,0E-20
andy_zipper_000_1_1.pst.251.xls,228,0,0E-20
andy_zipper_000_1_1.pst.252.xls,225,0,0E-20
andy_zipper_000_1_1.pst.253.xls,223,0,0E-20
andy_zipper_000_1_1.pst.26.xls,162,0,0E-20
andy_zipper_000_1_1.pst.27.xls,36646,9059,0.24720296894613327512
andy_zipper_000_1_1.pst.28.xls,165178,65471,0.39636634418627177953
andy_zipper_000_1_1.pst.30.xls,824,4,0.00485436893203883495
andy_zipper_000_1_1.pst.31.xls,787,8,0.01016518424396442186
andy_zipper_000_1_1.pst.32.xls,694,17,0.02449567723342939481
andy_zipper_000_1_1.pst.33.xls,875,17,0.01942857142857142857
andy_zipper_000_1_1.pst.34.xls,722,17,0.02354570637119113573
andy_zipper_000_1_1.pst.35.xls,722,17,0.02354570637119113573
andy_zipper_000_1_1.pst.36.xls,766,17,0.02219321148825065274
andy_zipper_000_1_1.pst.37.xls,892,17,0.01905829596412556054
andy_zipper_000_1_1.pst.38.xls,803,17,0.02117061021170610212
andy_zipper_000_1_1.pst.39.xls,802,17,0.02119700748129675810
andy_zipper_000_1_1.pst.40.xls,877,7,0.00798175598631698974
andy_zipper_000_1_1.pst.41.xls,902,7,0.00776053215077605322
andy_zipper_000_1_1.pst.42.xls,875,7,0.00800000000000000000
andy_zipper_000_1_1.pst.43.xls,829,7,0.00844390832328106152
andy_zipper_000_1_1.pst.44.xls,804,7,0.00870646766169154229
andy_zipper_000_1_1.pst.45.xls,857,7,0.00816802800466744457
andy_zipper_000_1_1.pst.46.xls,1111,7,0.00630063006300630063
andy_zipper_000_1_1.pst.47.xls,1037,7,0.00675024108003857281
andy_zipper_000_1_1.pst.48.xls,1748,8,0.00457665903890160183
andy_zipper_000_1_1.pst.50.xls,1069,7,0.00654817586529466791
andy_zipper_000_1_1.pst.51.xls,1611,15,0.00931098696461824953
andy_zipper_000_1_1.pst.52.xls,8384,6017,0.71767652671755725191
andy_zipper_000_1_1.pst.53.xls,8376,6017,0.71836198662846227316
andy_zipper_000_1_1.pst.54.xls,8117,6041,0.74424048293704570654
andy_zipper_000_1_1.pst.57.xls,3400,6,0.00176470588235294118
andy_zipper_000_1_1.pst.58.xls,7696,6041,0.78495322245322245322
andy_zipper_000_1_1.pst.59.xls,7953,6045,0.76009053187476423991
andy_zipper_000_1_1.pst.60.xls,183,0,0E-20
andy_zipper_000_1_1.pst.61.xls,3545,6,0.00169252468265162200
andy_zipper_000_1_1.pst.62.xls,8462,6046,0.71448830063814701016
andy_zipper_000_1_1.pst.63.xls,8255,6010,0.72804360993337371290
andy_zipper_000_1_1.pst.64.xls,8522,6043,0.70910584369866228585
andy_zipper_000_1_1.pst.65.xls,8334,6006,0.72066234701223902088
andy_zipper_000_1_1.pst.66.xls,8677,6006,0.69217471476316699320
andy_zipper_000_1_1.pst.67.xls,8622,5988,0.69450243562978427279
andy_zipper_000_1_1.pst.68.xls,8023,5988,0.74635423158419543812
andy_zipper_000_1_1.pst.69.xls,6683,5988,0.89600478826874158312
andy_zipper_000_1_1.pst.70.xls,7936,5990,0.75478830645161290323
andy_zipper_000_1_1.pst.71.xls,8545,5984,0.70029256875365710942
andy_zipper_000_1_1.pst.72.xls,8401,5984,0.71229615521961671230
andy_zipper_000_1_1.pst.73.xls,8948,5984,0.66875279392042914618
andy_zipper_000_1_1.pst.74.xls,8411,5984,0.71144929259303293306
andy_zipper_000_1_1.pst.75.xls,8614,5984,0.69468307406547480845
andy_zipper_000_1_1.pst.76.xls,8788,5984,0.68092853891670459718
andy_zipper_000_1_1.pst.77.xls,8389,5984,0.71331505542972940756
andy_zipper_000_1_1.pst.78.xls,7656,5516,0.72048066875653082550
andy_zipper_000_1_1.pst.79.xls,8275,5516,0.66658610271903323263
andy_zipper_000_1_1.pst.80.xls,8699,5524,0.63501551902517530751
andy_zipper_000_1_1.pst.81.xls,8841,5494,0.62142291595973306187
andy_zipper_000_1_1.pst.82.xls,9370,5599,0.59754535752401280683
andy_zipper_000_1_1.pst.83.xls,128077,36390,0.28412595547990661867
andy_zipper_000_1_1.pst.84.xls,156937,65475,0.41720563028476394987
andy_zipper_000_1_1.pst.85.xls,161559,65475,0.40526990139825079383
andy_zipper_000_1_1.pst.86.xls,604,0,0E-20
andy_zipper_000_1_1.pst.87.xls,153623,65475,0.42620571138436301856
andy_zipper_000_1_1.pst.88.xls,160748,65470,0.40728344987184910543
andy_zipper_000_1_1.pst.89.xls,14776,1933,0.13082024905251759610
andy_zipper_000_1_1.pst.91.xls,5070,8,0.00157790927021696252
andy_zipper_000_1_1.pst.92.xls,159523,65470,0.41041103790675952684
andy_zipper_000_1_1.pst.93.xls,162,0,0E-20
andy_zipper_000_1_1.pst.94.xls,16611,2375,0.14297754500030100536
andy_zipper_000_1_1.pst.95.xls,5082,8,0.00157418339236521055
andy_zipper_000_1_1.pst.96.xls,162,0,0E-20
andy_zipper_000_1_1.pst.97.xls,165219,65470,0.39626193113382843378
andy_zipper_000_1_1.pst.98.xls,36,4,0.11111111111111111111
andy_zipper_000_1_1.pst.99.xls,14,0,0E-20
andy_zipper_001_1_1.pst.100.xls,100,0,0E-20
andy_zipper_001_1_1.pst.101.xls,109,0,0E-20
andy_zipper_001_1_1.pst.102.xls,129,0,0E-20
andy_zipper_001_1_1.pst.108.xls,129,0,0E-20
andy_zipper_001_1_1.pst.111.xls,129,0,0E-20
andy_zipper_001_1_1.pst.114.xls,129,0,0E-20
andy_zipper_001_1_1.pst.115.xls,100,0,0E-20
andy_zipper_001_1_1.pst.116.xls,109,0,0E-20
andy_zipper_001_1_1.pst.123.xls,129,0,0E-20
andy_zipper_001_1_1.pst.126.xls,123,0,0E-20
andy_zipper_001_1_1.pst.129.xls,100,0,0E-20
andy_zipper_001_1_1.pst.130.xls,109,0,0E-20
andy_zipper_001_1_1.pst.135.xls,129,0,0E-20
andy_zipper_001_1_1.pst.138.xls,87,0,0E-20
andy_zipper_001_1_1.pst.141.xls,129,0,0E-20
andy_zipper_001_1_1.pst.143.xls,109,0,0E-20
andy_zipper_001_1_1.pst.150.xls,129,0,0E-20
andy_zipper_001_1_1.pst.153.xls,129,0,0E-20
andy_zipper_001_1_1.pst.156.xls,117,0,0E-20
andy_zipper_001_1_1.pst.159.xls,234,0,0E-20
andy_zipper_001_1_1.pst.162.xls,724,0,0E-20
andy_zipper_001_1_1.pst.165.xls,117,0,0E-20
andy_zipper_001_1_1.pst.167.xls,129,0,0E-20
andy_zipper_001_1_1.pst.172.xls,117,0,0E-20
andy_zipper_001_1_1.pst.175.xls,127,0,0E-20
andy_zipper_001_1_1.pst.178.xls,118,0,0E-20
andy_zipper_001_1_1.pst.179.xls,94,0,0E-20
andy_zipper_001_1_1.pst.180.xls,100,0,0E-20
andy_zipper_001_1_1.pst.187.xls,121,0,0E-20
andy_zipper_001_1_1.pst.190.xls,117,0,0E-20
andy_zipper_001_1_1.pst.193.xls,117,0,0E-20
andy_zipper_001_1_1.pst.196.xls,121,0,0E-20
andy_zipper_001_1_1.pst.199.xls,121,0,0E-20
andy_zipper_001_1_1.pst.200.xls,94,0,0E-20
andy_zipper_001_1_1.pst.201.xls,100,0,0E-20
andy_zipper_001_1_1.pst.208.xls,129,0,0E-20
andy_zipper_001_1_1.pst.211.xls,18814,8,0.00042521526522802169
andy_zipper_001_1_1.pst.214.xls,736,0,0E-20
andy_zipper_001_1_1.pst.217.xls,129,0,0E-20
andy_zipper_001_1_1.pst.220.xls,81,0,0E-20
andy_zipper_001_1_1.pst.223.xls,129,0,0E-20
andy_zipper_001_1_1.pst.224.xls,97,0,0E-20
andy_zipper_001_1_1.pst.225.xls,106,0,0E-20
andy_zipper_001_1_1.pst.232.xls,129,0,0E-20
andy_zipper_001_1_1.pst.235.xls,123,0,0E-20
andy_zipper_001_1_1.pst.238.xls,129,0,0E-20
andy_zipper_001_1_1.pst.241.xls,123,0,0E-20
andy_zipper_001_1_1.pst.244.xls,233,0,0E-20
andy_zipper_001_1_1.pst.247.xls,97,0,0E-20
andy_zipper_001_1_1.pst.248.xls,106,0,0E-20
andy_zipper_001_1_1.pst.253.xls,729,0,0E-20
andy_zipper_001_1_1.pst.256.xls,129,0,0E-20
andy_zipper_001_1_1.pst.259.xls,100,0,0E-20
andy_zipper_001_1_1.pst.260.xls,106,0,0E-20
andy_zipper_001_1_1.pst.265.xls,129,0,0E-20
andy_zipper_001_1_1.pst.268.xls,129,0,0E-20
andy_zipper_001_1_1.pst.271.xls,739,0,0E-20
andy_zipper_001_1_1.pst.274.xls,233,0,0E-20
andy_zipper_001_1_1.pst.277.xls,117,0,0E-20
andy_zipper_001_1_1.pst.280.xls,129,0,0E-20
andy_zipper_001_1_1.pst.281.xls,100,0,0E-20
andy_zipper_001_1_1.pst.282.xls,106,0,0E-20
andy_zipper_001_1_1.pst.289.xls,234,0,0E-20
andy_zipper_001_1_1.pst.292.xls,705,0,0E-20
andy_zipper_001_1_1.pst.295.xls,97,0,0E-20
andy_zipper_001_1_1.pst.296.xls,109,0,0E-20
andy_zipper_001_1_1.pst.345.xls,108,0,0E-20
andy_zipper_001_1_1.pst.346.xls,536,156,0.29104477611940298507
andy_zipper_001_1_1.pst.347.xls,80,0,0E-20
andy_zipper_001_1_1.pst.348.xls,129,0,0E-20
andy_zipper_001_1_1.pst.349.xls,118,0,0E-20
andy_zipper_001_1_1.pst.350.xls,535,0,0E-20
andy_zipper_001_1_1.pst.351.xls,540,0,0E-20
andy_zipper_001_1_1.pst.352.xls,545,0,0E-20
andy_zipper_001_1_1.pst.353.xls,545,0,0E-20
andy_zipper_001_1_1.pst.354.xls,545,0,0E-20
andy_zipper_001_1_1.pst.355.xls,560,0,0E-20
andy_zipper_001_1_1.pst.356.xls,565,0,0E-20
andy_zipper_001_1_1.pst.357.xls,699,0,0E-20
andy_zipper_001_1_1.pst.358.xls,535,0,0E-20
andy_zipper_001_1_1.pst.365.xls,116,6,0.05172413793103448276
andy_zipper_001_1_1.pst.366.xls,129,0,0E-20
andy_zipper_001_1_1.pst.367.xls,112,0,0E-20
andy_zipper_001_1_1.pst.368.xls,129,0,0E-20
andy_zipper_001_1_1.pst.369.xls,103,0,0E-20
andy_zipper_001_1_1.pst.370.xls,102,0,0E-20
andy_zipper_001_1_1.pst.371.xls,129,0,0E-20
andy_zipper_001_1_1.pst.372.xls,118,0,0E-20
andy_zipper_001_1_1.pst.373.xls,129,0,0E-20
andy_zipper_001_1_1.pst.374.xls,118,0,0E-20
andy_zipper_001_1_1.pst.375.xls,129,0,0E-20
andy_zipper_001_1_1.pst.376.xls,103,0,0E-20
andy_zipper_001_1_1.pst.377.xls,102,0,0E-20
andy_zipper_001_1_1.pst.378.xls,712,0,0E-20
andy_zipper_001_1_1.pst.379.xls,14691,8,0.00054455108569872711
andy_zipper_001_1_1.pst.380.xls,13833,8,0.00057832718860695438
andy_zipper_001_1_1.pst.382.xls,118,0,0E-20
andy_zipper_001_1_1.pst.383.xls,127,0,0E-20
andy_zipper_001_1_1.pst.384.xls,129,0,0E-20
andy_zipper_001_1_1.pst.385.xls,100,0,0E-20
andy_zipper_001_1_1.pst.386.xls,106,0,0E-20
andy_zipper_001_1_1.pst.387.xls,118,0,0E-20
andy_zipper_001_1_1.pst.388.xls,129,0,0E-20
andy_zipper_001_1_1.pst.389.xls,118,0,0E-20
andy_zipper_001_1_1.pst.390.xls,129,0,0E-20
andy_zipper_001_1_1.pst.391.xls,118,0,0E-20
andy_zipper_001_1_1.pst.392.xls,129,0,0E-20
andy_zipper_001_1_1.pst.393.xls,100,0,0E-20
andy_zipper_001_1_1.pst.394.xls,111,0,0E-20
andy_zipper_001_1_1.pst.395.xls,129,0,0E-20
andy_zipper_001_1_1.pst.396.xls,129,0,0E-20
andy_zipper_001_1_1.pst.397.xls,100,0,0E-20
andy_zipper_001_1_1.pst.398.xls,111,0,0E-20
andy_zipper_001_1_1.pst.399.xls,118,0,0E-20
andy_zipper_001_1_1.pst.400.xls,129,0,0E-20
andy_zipper_001_1_1.pst.401.xls,2520,1342,0.53253968253968253968
andy_zipper_001_1_1.pst.402.xls,129,0,0E-20
andy_zipper_001_1_1.pst.403.xls,129,0,0E-20
andy_zipper_001_1_1.pst.404.xls,93,0,0E-20
andy_zipper_001_1_1.pst.405.xls,129,0,0E-20
andy_zipper_001_1_1.pst.406.xls,233,0,0E-20
andy_zipper_001_1_1.pst.407.xls,21,0,0E-20
andy_zipper_001_1_1.pst.408.xls,103,0,0E-20
andy_zipper_001_1_1.pst.409.xls,692,0,0E-20
andy_zipper_001_1_1.pst.410.xls,102,0,0E-20
andy_zipper_001_1_1.pst.411.xls,102,0,0E-20
andy_zipper_001_1_1.pst.412.xls,129,0,0E-20
andy_zipper_001_1_1.pst.413.xls,3132,0,0E-20
andy_zipper_001_1_1.pst.414.xls,129,0,0E-20
andy_zipper_001_1_1.pst.415.xls,12312,0,0E-24
andy_zipper_001_1_1.pst.416.xls,129,0,0E-20
andy_zipper_001_1_1.pst.417.xls,123,0,0E-20
andy_zipper_001_1_1.pst.418.xls,235,0,0E-20
andy_zipper_001_1_1.pst.419.xls,102,0,0E-20
andy_zipper_001_1_1.pst.420.xls,97,0,0E-20
andy_zipper_001_1_1.pst.421.xls,701,0,0E-20
andy_zipper_001_1_1.pst.422.xls,129,0,0E-20
andy_zipper_001_1_1.pst.423.xls,129,0,0E-20
andy_zipper_001_1_1.pst.424.xls,129,0,0E-20
andy_zipper_001_1_1.pst.425.xls,123,0,0E-20
andy_zipper_001_1_1.pst.426.xls,129,0,0E-20
andy_zipper_001_1_1.pst.427.xls,103,0,0E-20
andy_zipper_001_1_1.pst.428.xls,102,0,0E-20
andy_zipper_001_1_1.pst.429.xls,113,0,0E-20
andy_zipper_001_1_1.pst.430.xls,689,0,0E-20
andy_zipper_001_1_1.pst.431.xls,14118,8,0.00056665250035415781
andy_zipper_001_1_1.pst.75.xls,127,0,0E-20
andy_zipper_001_1_1.pst.78.xls,117,0,0E-20
andy_zipper_001_1_1.pst.81.xls,127,0,0E-20
andy_zipper_001_1_1.pst.84.xls,127,0,0E-20
andy_zipper_001_1_1.pst.87.xls,233,0,0E-20
andy_zipper_001_1_1.pst.90.xls,129,0,0E-20
andy_zipper_001_1_1.pst.93.xls,117,0,0E-20
andy_zipper_001_1_1.pst.96.xls,129,0,0E-20
barry_tycholiz_000_1_1.pst.0.xls,106,7,0.06603773584905660377
barry_tycholiz_000_1_1.pst.10.xls,133,17,0.12781954887218045113
barry_tycholiz_000_1_1.pst.11.xls,30,0,0E-20
barry_tycholiz_000_1_1.pst.12.xls,37,0,0E-20
barry_tycholiz_000_1_1.pst.13.xls,260,159,0.61153846153846153846
barry_tycholiz_000_1_1.pst.14.xls,222,64,0.28828828828828828829
barry_tycholiz_000_1_1.pst.15.xls,146,0,0E-20
barry_tycholiz_000_1_1.pst.16.xls,221,64,0.28959276018099547511
barry_tycholiz_000_1_1.pst.17.xls,347,9,0.02593659942363112392
barry_tycholiz_000_1_1.pst.18.xls,1157,0,0E-20
barry_tycholiz_000_1_1.pst.30.xls,195,70,0.35897435897435897436
barry_tycholiz_000_1_1.pst.31.xls,141,38,0.26950354609929078014
barry_tycholiz_000_1_1.pst.32.xls,292,49,0.16780821917808219178
barry_tycholiz_000_1_1.pst.33.xls,2549,1113,0.43664182032169478227
barry_tycholiz_000_1_1.pst.34.xls,2673,1167,0.43658810325476992144
barry_tycholiz_000_1_1.pst.35.xls,462,136,0.29437229437229437229
barry_tycholiz_000_1_1.pst.38.xls,238,0,0E-20
barry_tycholiz_000_1_1.pst.39.xls,244,35,0.14344262295081967213
barry_tycholiz_000_1_1.pst.41.xls,3166,32,0.01010739102969046115
barry_tycholiz_000_1_1.pst.42.xls,211,57,0.27014218009478672986
barry_tycholiz_000_1_1.pst.43.xls,3888,2939,0.75591563786008230453
barry_tycholiz_000_1_1.pst.44.xls,1639,1173,0.71568029286150091519
barry_tycholiz_000_1_1.pst.45.xls,253,125,0.49407114624505928854
barry_tycholiz_000_1_1.pst.56.xls,58,22,0.37931034482758620690
barry_tycholiz_000_1_1.pst.59.xls,3186,42,0.01318267419962335217
barry_tycholiz_000_1_1.pst.62.xls,352,1,0.00284090909090909091
barry_tycholiz_000_1_1.pst.65.xls,39,15,0.38461538461538461538
barry_tycholiz_000_1_1.pst.66.xls,343,114,0.33236151603498542274
barry_tycholiz_000_1_1.pst.67.xls,45,6,0.13333333333333333333
barry_tycholiz_000_1_1.pst.68.xls,11980,7102,0.59282136894824707846
barry_tycholiz_000_1_1.pst.69.xls,28,0,0E-20
barry_tycholiz_000_1_1.pst.70.xls,2034,323,0.15880039331366764995
barry_tycholiz_000_1_1.pst.71.xls,534,128,0.23970037453183520599
barry_tycholiz_000_1_1.pst.72.xls,783,126,0.16091954022988505747
barry_tycholiz_000_1_1.pst.73.xls,588,0,0E-20
barry_tycholiz_000_1_1.pst.74.xls,666,0,0E-20
barry_tycholiz_000_1_1.pst.75.xls,226,32,0.14159292035398230088
barry_tycholiz_000_1_1.pst.76.xls,695,0,0E-20
barry_tycholiz_000_1_1.pst.77.xls,20320,15775,0.77632874015748031496
barry_tycholiz_000_1_1.pst.78.xls,340,0,0E-20
barry_tycholiz_000_1_1.pst.79.xls,1424,0,0E-20
barry_tycholiz_000_1_1.pst.80.xls,593,76,0.12816188870151770658
barry_tycholiz_000_1_1.pst.81.xls,171,0,0E-20
benjamin_rogers_000_1_1.pst.0.xls,15,0,0E-20
benjamin_rogers_000_1_1.pst.1.xls,77,0,0E-20
benjamin_rogers_000_1_1.pst.10.xls,396641,43555,0.10980962633716635446
benjamin_rogers_000_1_1.pst.100.xls,411521,43555,0.10583907018110861900
